author_id,first_name,last_name,birth_year,death_year
1,George,Orwell,1903,1950
2,Sylvia,Plath,1932,1963
3,Fiodor,Dostojewski,1821,1881
4,Adam,Mickiewicz,1798,1855
5,Kamil,Janicki,1986,
